Condition,"Ring fat attenuation, change (HU)","Ring fat attenuation, absolute change (HU)","Ring fat fraction, change","Ring fat fraction, absolute change","Asymmetry index, change","Asymmetry index, absolute change"
Control,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.0000 [0.0000, 0.0000]","0.0000 [0.0000, 0.0000]","0.0000 [0.0000, 0.0000]","0.0000 [0.0000, 0.0000]"
1 mm / 10 mm / b,"0.13 [-0.29, 0.32]","0.31 [0.16, 0.46]","-0.0002 [-0.0012, 0.0005]","0.0010 [0.0004, 0.0018]","0.0002 [-0.0042, 0.0036]","0.0039 [0.0018, 0.0063]"
1 mm / 10 mm / n,"0.02 [-0.22, 0.21]","0.22 [0.09, 0.42]","-0.0001 [-0.0009, 0.0009]","0.0009 [0.0003, 0.0016]","-0.0011 [-0.0048, 0.0025]","0.0043 [0.0019, 0.0057]"
1 mm / 20 mm / b,"0.00 [-0.22, 0.30]","0.23 [0.12, 0.49]","-0.0001 [-0.0010, 0.0010]","0.0011 [0.0005, 0.0023]","0.0015 [-0.0048, 0.0064]","0.0062 [0.0025, 0.0123]"
1 mm / 20 mm / n,"-0.00 [-0.17, 0.16]","0.17 [0.07, 0.34]","-0.0001 [-0.0011, 0.0007]","0.0009 [0.0003, 0.0022]","0.0004 [-0.0041, 0.0058]","0.0049 [0.0024, 0.0081]"
2 mm / 10 mm / b,"0.00 [-0.25, 0.23]","0.24 [0.11, 0.39]","-0.0003 [-0.0016, 0.0008]","0.0012 [0.0006, 0.0022]","0.0008 [-0.0059, 0.0043]","0.0046 [0.0029, 0.0094]"
2 mm / 10 mm / n,"-0.02 [-0.19, 0.23]","0.21 [0.12, 0.41]","-0.0002 [-0.0012, 0.0013]","0.0013 [0.0006, 0.0020]","-0.0011 [-0.0044, 0.0029]","0.0039 [0.0023, 0.0082]"
2 mm / 20 mm / b,"-0.02 [-0.22, 0.21]","0.21 [0.09, 0.34]","0.0000 [-0.0024, 0.0023]","0.0023 [0.0010, 0.0031]","0.0009 [-0.0067, 0.0097]","0.0089 [0.0029, 0.0146]"
2 mm / 20 mm / n,"0.04 [-0.16, 0.26]","0.25 [0.08, 0.43]","0.0000 [-0.0021, 0.0024]","0.0023 [0.0014, 0.0037]","0.0015 [-0.0034, 0.0059]","0.0047 [0.0020, 0.0100]"
