index,unit,n_pairs,prone_mean,prone_sd,supine_mean,supine_sd,icc21,icc_lower,icc_upper,bias_prone_minus_supine,bias_ci_lower,bias_ci_upper,sd_diff,loa_lower,loa_upper
traced_centerline_length_cm,cm,28,136.2721,51.5065,145.6443,55.0427,0.3251,-0.0492,0.6189,-9.3721,-33.4368,14.6926,62.0609,-131.0115,112.2672
centerline_tortuosity_index,,28,7.2131,4.1317,7.7026,5.197,0.2185,-0.172,0.5456,-0.4895,-2.7726,1.7936,5.888,-12.03,11.051
gas_volume_ml,mL,28,1759.4643,778.9584,1987.7679,642.3764,0.6218,0.3313,0.8049,-228.3036,-461.3233,4.7161,600.9387,-1406.1435,949.5364
length_adjusted_gas_ml_per_cm,mL/cm,28,13.9016,6.1361,15.206,6.8018,0.5961,0.2994,0.7891,-1.3045,-3.5519,0.9429,5.7959,-12.6644,10.0554
collapse_ratio_pct,%,28,9.9464,9.1709,11.45,8.1714,0.1358,-0.2504,0.4818,-1.5036,-5.9367,2.9296,11.4328,-23.9118,20.9047
luminal_radius_mm_median,mm,28,9.0282,1.8753,9.6889,2.1272,0.1493,-0.2163,0.4843,-0.6607,-1.6728,0.3513,2.61,-5.7763,4.4548
distension_quality_score,,28,86.5786,11.0545,84.5321,14.8831,0.1686,-0.2192,0.5073,2.0464,-4.5199,8.6128,16.9341,-31.1444,35.2372
ring_fat_mean_hu_median,HU,28,-97.9994,9.6135,-97.468,8.8253,0.9583,0.9128,0.9804,-0.5315,-1.563,0.5,2.6602,-5.7454,4.6824
ring_fat_fraction_mean,,28,0.5329,0.161,0.5369,0.1414,0.9619,0.9197,0.9821,-0.0039,-0.0204,0.0125,0.0424,-0.0871,0.0792
fat_mean_hu_median,HU,28,-97.6518,4.8981,-97.7658,3.7375,0.724,0.4836,0.8624,0.114,-1.1571,1.385,3.278,-6.3108,6.5388
fat_fraction_mean,,28,0.3092,0.0632,0.3238,0.0603,0.5796,0.278,0.7791,-0.0146,-0.0363,0.0072,0.0561,-0.1246,0.0955
fat_volume_ml_sum,mL,28,249.0866,210.5791,271.5532,217.855,-0.0243,-0.4045,0.3538,-22.4666,-141.3286,96.3953,306.5353,-623.2758,578.3425
fat_asymmetry,,28,0.009,0.0561,0.0205,0.061,-0.0698,-0.4368,0.3107,-0.0114,-0.0447,0.0218,0.0857,-0.1794,0.1565
fat_asymmetry_theta_halves,,28,-0.0018,0.0459,-0.0218,0.0366,-0.2646,-0.5623,0.1045,0.02,-0.0057,0.0458,0.0665,-0.1102,0.1503
