index,unit,n_pairs,prone_mean,prone_sd,supine_mean,supine_sd,icc21,icc_lower,icc_upper,bias_prone_minus_supine,bias_ci_lower,bias_ci_upper,sd_diff,loa_lower,loa_upper
traced_centerline_length_cm,cm,19,137.7679,52.8568,161.9616,58.3764,0.3448,-0.0768,0.6751,-24.1937,-54.4207,6.0333,62.7136,-147.1124,98.725
centerline_tortuosity_index,,19,7.6703,4.0236,8.8616,5.7942,0.3016,-0.1635,0.6573,-1.1913,-4.0377,1.6552,5.9057,-12.7664,10.3839
gas_volume_ml,mL,19,1502.6947,500.991,1814.4789,637.7091,0.47,0.0569,0.7521,-311.7842,-580.3805,-43.1879,557.2716,-1404.0366,780.4682
length_adjusted_gas_ml_per_cm,mL/cm,19,11.8442,4.4543,12.1325,5.3561,0.6824,0.337,0.865,-0.2883,-2.212,1.6353,3.9911,-8.1109,7.5342
collapse_ratio_pct,%,19,8.5316,9.4106,11.4368,9.3723,0.0541,-0.399,0.4861,-2.9053,-9.1315,3.321,12.918,-28.2246,22.414
luminal_radius_mm_median,mm,19,9.0616,1.7959,9.1474,1.9966,0.2932,-0.1961,0.6572,-0.0858,-1.1822,1.0107,2.2749,-4.5445,4.373
distension_quality_score,,19,87.7316,11.1777,83.3158,17.6574,0.1531,-0.3077,0.5577,4.4158,-4.8535,13.6851,19.2315,-33.2779,42.1095
ring_fat_mean_hu_median,HU,19,-101.7485,6.4515,-100.3821,6.4636,0.9338,0.7574,0.9775,-1.3664,-2.327,-0.4057,1.9931,-5.2729,2.5401
ring_fat_fraction_mean,,19,0.5842,0.1271,0.5895,0.1054,0.948,0.8716,0.9796,-0.0053,-0.0237,0.0132,0.0383,-0.0803,0.0697
fat_mean_hu_median,HU,19,-98.8772,4.16,-98.4104,3.7409,0.8215,0.5993,0.9268,-0.4668,-1.6127,0.6791,2.3775,-5.1267,4.193
fat_fraction_mean,,19,0.3123,0.0482,0.336,0.0558,0.4415,0.0328,0.7336,-0.0238,-0.0495,0.002,0.0534,-0.1284,0.0809
fat_volume_ml_sum,mL,19,226.6239,146.7092,328.5011,239.2854,0.1049,-0.302,0.5058,-101.8772,-229.2285,25.4741,264.2228,-619.7538,415.9994
fat_asymmetry,,19,0.0035,0.0441,0.011,0.0566,0.0889,-0.3936,0.5202,-0.0075,-0.0406,0.0255,0.0686,-0.1419,0.1269
fat_asymmetry_theta_halves,,19,-0.005,0.0417,-0.0288,0.0297,-0.2535,-0.5877,0.191,0.0239,-0.0042,0.0519,0.0582,-0.0902,0.1379
