series,core3_inside,core3_length_mm,core3_ref_far,core3_ref_near,core3_self_near,current_inside,current_length_mm,current_ref_far,current_ref_near,current_self_near,rectal_inside,rectal_length_mm,rectal_ref_far,rectal_ref_near,rectal_self_near,select_chosen,select_inside,select_length_mm,select_ref_far,select_ref_near,select_self_near
0001-1,0.9,1084.6794,0.4786,0.4095,0.3438,0.9158,1044.5183,0.5174,0.3996,0.3214,0.7552,860.9623,0.3254,0.5603,0.4111,rectal,0.7552,860.9623,0.3254,0.5603,0.4111
0003-1,0.9813,1649.4699,0.003,0.8873,0.8909,0.9713,999.3868,0.5556,0.3881,0.3995,0.9813,1651.1021,0.0049,0.8864,0.89,core3,0.9813,1649.4699,0.003,0.8873,0.8909
0003-2,0.9638,1691.4917,0.0,0.8684,0.8643,0.9398,1014.9485,0.5686,0.3394,0.3437,0.963,1694.4664,0.0,0.8679,0.8637,core3,0.9638,1691.4917,0.0,0.8684,0.8643
0004-1,0.9992,1763.4482,0.0,0.969,0.845,1.0,1196.5547,0.43,0.5284,0.4797,0.9991,1549.1021,0.1742,0.7655,0.6765,core3,0.9992,1763.4482,0.0,0.969,0.845
0004-2,0.9992,1772.6179,0.0,0.9699,0.8185,0.9504,1488.3431,0.2294,0.686,0.6098,0.94,1574.768,0.2294,0.6909,0.6139,core3,0.9992,1772.6179,0.0,0.9699,0.8185
0005-1,0.9818,848.939,0.544,0.3925,0.3992,0.9908,1369.4038,0.3451,0.5904,0.6038,0.992,1925.0934,0.0,0.9686,0.9705,rectal,0.992,1925.0934,0.0,0.9686,0.9705
0005-2,0.9901,1400.2671,0.374,0.5352,0.5502,0.9874,1330.9412,0.4219,0.5008,0.5148,0.9931,2041.0637,0.0,0.9631,0.9621,rectal,0.9931,2041.0637,0.0,0.9631,0.9621
0006-2,0.9742,857.4326,0.7408,0.2016,0.2079,0.9818,1341.1369,0.535,0.324,0.3347,0.9908,2529.1216,0.0,0.9723,0.9741,rectal,0.9908,2529.1216,0.0,0.9723,0.9741
0007-1,0.9883,1862.8868,0.0,0.9453,0.8265,0.9619,1192.5726,0.4823,0.4391,0.3942,0.8678,1325.1026,0.4823,0.4391,0.3945,core3,0.9883,1862.8868,0.0,0.9453,0.8265
0007-2,0.9854,1880.6843,0.0,0.9536,0.8165,0.9814,1340.512,0.4133,0.4916,0.4346,0.9727,1080.7572,0.573,0.3584,0.3242,core3,0.9854,1880.6843,0.0,0.9536,0.8165
0009-1,0.9374,1107.3812,0.3834,0.5207,0.4065,0.9948,757.6874,0.4243,0.3868,0.2837,0.993,744.131,0.4357,0.3653,0.2682,core3,0.9374,1107.3812,0.3834,0.5207,0.4065
0012-1,0.8532,549.0239,0.698,0.2661,0.2696,0.9128,892.0997,0.4887,0.4131,0.4254,0.7623,2035.3712,0.0,0.9515,0.9641,rectal,0.7623,2035.3712,0.0,0.9515,0.9641
0014-1,0.9632,645.5014,0.4205,0.4733,0.3115,0.8473,719.6202,0.3122,0.4805,0.3553,0.87,865.7421,0.2229,0.5733,0.4224,rectal,0.87,865.7421,0.2229,0.5733,0.4224
0017-1,0.9631,1364.7814,0.1919,0.6501,0.6369,0.9569,1098.2817,0.4394,0.4386,0.4326,0.9623,1369.7062,0.1919,0.6501,0.6371,rectal,0.9623,1369.7062,0.1919,0.6501,0.6371
0017-2,0.9766,1452.0402,0.2138,0.6972,0.6871,0.9791,1195.6805,0.2919,0.6068,0.576,0.973,1184.3627,0.2919,0.5954,0.5655,core3,0.9766,1452.0402,0.2138,0.6972,0.6871
0018-2,0.8401,1075.6039,0.3597,0.3455,0.3497,0.6966,1311.7577,0.3458,0.3448,0.3996,0.6938,1317.0967,0.3458,0.3448,0.3996,current,0.6966,1311.7577,0.3458,0.3448,0.3996
0020-1,0.9517,671.0789,0.6592,0.2654,0.1744,0.9716,1064.268,0.531,0.3901,0.2619,0.6164,2343.6101,0.1968,0.5783,0.5414,rectal,0.6164,2343.6101,0.1968,0.5783,0.5414
0022-1,0.9875,1321.0938,0.1938,0.6935,0.5634,0.9878,1015.1834,0.3812,0.4118,0.3486,0.9868,1054.7957,0.3805,0.4181,0.3536,core3,0.9875,1321.0938,0.1938,0.6935,0.5634
0022-2,0.9594,1319.5679,0.2042,0.7092,0.367,0.747,1257.0953,0.2588,0.5568,0.4137,0.6966,1336.4465,0.2588,0.5568,0.4384,rectal,0.6966,1336.4465,0.2588,0.5568,0.4384
0025-2,0.9874,1886.7135,0.0,0.9843,0.9617,0.9808,1172.7317,0.414,0.4972,0.4934,0.9874,1882.8817,0.0,0.9827,0.9608,core3,0.9874,1886.7135,0.0,0.9843,0.9617
0026-1,0.9597,1659.5786,0.0079,0.8197,0.5546,0.7333,1183.5834,0.3717,0.4008,0.3194,0.729,1189.094,0.3717,0.4008,0.3194,core3,0.9597,1659.5786,0.0079,0.8197,0.5546
0026-2,0.7441,541.598,0.6937,0.1776,0.1542,0.9055,1348.9186,0.3456,0.4954,0.4125,0.8552,1429.4187,0.3306,0.5015,0.4198,rectal,0.8552,1429.4187,0.3306,0.5015,0.4198
0028-1,0.9784,1242.3635,0.2052,0.5396,0.5427,0.7528,717.1042,0.4561,0.2808,0.2979,0.9725,931.3608,0.2641,0.4467,0.4626,core3,0.9784,1242.3635,0.2052,0.5396,0.5427
0028-2,0.9804,847.354,0.6808,0.2291,0.2277,0.9665,1160.8904,0.5128,0.3322,0.3383,0.9871,1840.9871,0.0194,0.8516,0.8434,rectal,0.9871,1840.9871,0.0194,0.8516,0.8434
0030-1,0.9957,1297.0103,0.5785,0.3554,0.2615,0.8844,1214.4248,0.6061,0.3079,0.2873,0.9968,2102.2328,0.0,0.9467,0.6546,rectal,0.9968,2102.2328,0.0,0.9467,0.6546
0031-1,0.9822,1867.428,0.0,0.9627,0.8162,0.967,1044.9397,0.5092,0.4415,0.3791,0.9808,1875.62,0.0,0.9648,0.8167,rectal,0.9808,1875.62,0.0,0.9648,0.8167
